"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test one endpoint (one test per endpoint via parametrize ids).","336","test_endpoint[GET__familia]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","283","test_endpoint[POST__contratada-contrato]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","234","test_endpoint[GET__grupo-area_id_calendario]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","229","test_endpoint[GET__grupo-contratante]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","206","test_endpoint[PUT__contratante_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting Familia IDs atrelados a Contratante.","383","Get Familia IDs atrelados a Contratante","tests.contratante","2026-09-08","failed","2026-09-08","TestGetContratanteFamilia","test_get_familia","",""
"Test one endpoint (one test per endpoint via parametrize ids).","364","test_endpoint[GET__contrato_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","208","test_endpoint[PATCH__contratada_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Verify login endpoint returns a bearer token.","3582","Should login and return a valid token","tests","2026-09-08","passed","2026-09-08","TestAuth","test_auth","",""
"Test one endpoint (one test per endpoint via parametrize ids).","192","test_endpoint[DELETE__suporte_cartilha_delete_pasta]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","168","test_endpoint[PUT__contratante_id_grupo-area]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","215","test_endpoint[GET__grupo-area_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting all Contratadas.","208","Get all Contratadas","tests.contratada","2026-09-08","passed","2026-09-08","TestGetAllContratada","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","293","test_endpoint[GET__contratada-contrato]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","239","test_endpoint[DELETE__contratada-contrato_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","202","test_endpoint[POST__avisos]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","5775","test_endpoint[GET__video-cast]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test updating Grupo Area IDs atrelados a Contratante.","370","Update Grupo Area IDs atrelados a Contratante","tests.contratante","2026-09-08","failed","2026-09-08","TestUpdateContratanteGrupoArea","test_update_grupo_area","",""
"Test one endpoint (one test per endpoint via parametrize ids).","223","test_endpoint[PUT__area_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","302","test_endpoint[GET__avisos_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting Grupo Area atrelados a Contratante.","383","Get Grupo Area atrelados a Contratante","tests.contratante","2026-09-08","failed","2026-09-08","TestGetContratanteGrupoArea","test_get_grupo_area","",""
"Test creating Aviso.","190","Create Aviso","tests.avisos","2026-09-08","failed","2026-09-08","TestCreateAvisos","test_create","",""
"Test one endpoint (one test per endpoint via parametrize ids).","223","test_endpoint[GET__grupo-contratante_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test updating Contrato.","400","Update Contrato","tests.contrato","2026-09-08","failed","2026-09-08","TestUpdateContrato","test_update","",""
"Test one endpoint (one test per endpoint via parametrize ids).","201","test_endpoint[POST__sub-familia]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","208","test_endpoint[PUT__sub-familia_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","233","test_endpoint[GET__objeto-oficial_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","220","test_endpoint[DELETE__operador_vinculo_OperadorContratadaContratoId]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","242","test_endpoint[DELETE__amostragem-grupo-area_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","787","test_endpoint[PUT__objeto-analise-tipo-especifico_id]","tests","2026-09-08","passed","2026-09-08","TestAllEndpoints","test_all_endpoints","",""
"Test getting Contratada Contrato by ID.","233","Get Contratada Contrato by ID","tests.contratada_contrato","2026-09-08","skipped","2026-09-08","TestGetContratadaContratoById","test_get_by_id","",""
"Test updating Area.","410","Update Area","tests.area","2026-09-08","failed","2026-09-08","TestUpdateArea","test_update","",""
